id,title,status,priority,created_at,completed_at
79,Provision API gateway #79,in_progress,low,2026-03-01 12:01:23.924882+00,
6,Migrate cache layer #6,done,low,2026-03-02 19:01:23.924882+00,2026-03-05 19:01:23.924882+00
223,Configure cache layer #223,in_progress,high,2026-03-03 01:01:23.924882+00,
109,Provision billing module #109,todo,high,2026-03-03 17:01:23.924882+00,
196,Migrate cache layer #196,done,medium,2026-03-03 18:01:23.924882+00,2026-03-12 18:01:23.924882+00
108,Patch Terraform module #108,todo,medium,2026-03-04 21:01:23.924882+00,
245,Patch log shipper #245,done,low,2026-03-05 05:01:23.924882+00,2026-03-14 05:01:23.924882+00
203,Deploy Ansible playbook #203,todo,medium,2026-03-05 13:01:23.924882+00,
166,Automate dashboard #166,done,medium,2026-03-05 13:01:23.924882+00,2026-03-12 13:01:23.924882+00
50,Document database #50,in_progress,low,2026-03-05 21:01:23.924882+00,
115,Deploy auth service #115,done,low,2026-03-06 02:01:23.924882+00,2026-03-15 02:01:23.924882+00
111,Automate metrics exporter #111,done,low,2026-03-06 05:01:23.924882+00,2026-03-15 05:01:23.924882+00
19,Patch CI pipeline #19,todo,high,2026-03-06 12:01:23.924882+00,
116,Configure database #116,done,medium,2026-03-07 10:01:23.924882+00,2026-03-08 10:01:23.924882+00
36,Migrate Ansible playbook #36,done,low,2026-03-08 15:01:23.924882+00,2026-03-11 15:01:23.924882+00
168,Investigate database #168,done,medium,2026-03-08 16:01:23.924882+00,2026-03-15 16:01:23.924882+00
21,Deploy cache layer #21,todo,medium,2026-03-08 17:01:23.924882+00,
85,Patch database #85,in_progress,low,2026-03-09 03:01:23.924882+00,
211,Monitor CI pipeline #211,done,high,2026-03-09 05:01:23.924882+00,2026-03-13 05:01:23.924882+00
105,Migrate cache layer #105,in_progress,medium,2026-03-09 14:01:23.924882+00,
11,Migrate log shipper #11,in_progress,medium,2026-03-09 17:01:23.924882+00,
249,Migrate billing module #249,in_progress,medium,2026-03-09 23:01:23.924882+00,
57,Document auth service #57,done,medium,2026-03-10 20:01:23.924882+00,2026-03-15 20:01:23.924882+00
243,Provision dashboard #243,todo,medium,2026-03-11 02:01:23.924882+00,
205,Review database #205,todo,medium,2026-03-11 11:01:23.924882+00,
20,Refactor billing module #20,done,medium,2026-03-11 15:01:23.924882+00,2026-03-14 15:01:23.924882+00
93,Monitor metrics exporter #93,done,medium,2026-03-12 13:01:23.924882+00,2026-03-20 13:01:23.924882+00
14,Refactor Grafana panel #14,in_progress,low,2026-03-13 01:01:23.924882+00,
242,Configure auth service #242,done,low,2026-03-13 11:01:23.924882+00,2026-03-17 11:01:23.924882+00
13,Automate dashboard #13,todo,medium,2026-03-14 11:01:23.924882+00,
76,Monitor cache layer #76,in_progress,medium,2026-03-14 16:01:23.924882+00,
138,Configure API gateway #138,in_progress,low,2026-03-14 18:01:23.924882+00,
247,Monitor API gateway #247,todo,high,2026-03-14 18:01:23.924882+00,
238,Monitor database #238,todo,high,2026-03-14 21:01:23.924882+00,
60,Deploy API gateway #60,todo,low,2026-03-14 21:01:23.924882+00,
22,Configure auth service #22,done,low,2026-03-15 01:01:23.924882+00,2026-03-23 01:01:23.924882+00
41,Deploy log shipper #41,todo,medium,2026-03-15 05:01:23.924882+00,
129,Migrate dashboard #129,done,low,2026-03-15 08:01:23.924882+00,2026-03-16 08:01:23.924882+00
124,Monitor metrics exporter #124,todo,medium,2026-03-15 13:01:23.924882+00,
81,Configure dashboard #81,in_progress,medium,2026-03-15 22:01:23.924882+00,
84,Review cache layer #84,done,medium,2026-03-15 23:01:23.924882+00,2026-03-19 23:01:23.924882+00
177,Refactor billing module #177,in_progress,high,2026-03-16 07:01:23.924882+00,
88,Refactor cache layer #88,done,medium,2026-03-17 03:01:23.924882+00,2026-03-27 03:01:23.924882+00
159,Configure dashboard #159,done,medium,2026-03-17 12:01:23.924882+00,2026-03-18 12:01:23.924882+00
